"","Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"1","LP001002","Male","0","0","1","No",5849,0,NA,"360","1","0","1"
"2","LP001003","Male","1","1","1","No",4583,1508,128,"360","1","1","0"
"3","LP001005","Male","1","0","1","Yes",3000,0,66,"360","1","0","1"
"4","LP001006","Male","1","0","0","No",2583,2358,120,"360","1","0","1"
"5","LP001008","Male","0","0","1","No",6000,0,141,"360","1","0","1"
"6","LP001011","Male","1","2","1","Yes",5417,4196,267,"360","1","0","1"
"7","LP001013","Male","1","0","0","No",2333,1516,95,"360","1","0","1"
"8","LP001014","Male","1","3+","1","No",3036,2504,158,"360","0","2","0"
"9","LP001018","Male","1","2","1","No",4006,1526,168,"360","1","0","1"
"10","LP001020","Male","1","1","1","No",12841,10968,349,"360","1","2","0"
"11","LP001024","Male","1","2","1","No",3200,700,70,"360","1","0","1"
"12","LP001027","Male","1","2","1","",2500,1840,109,"360","1","0","1"
"13","LP001028","Male","1","2","1","No",3073,8106,200,"360","1","0","1"
"14","LP001029","Male","0","0","1","No",1853,2840,114,"360","1","1","0"
"15","LP001030","Male","1","2","1","No",1299,1086,17,"120","1","0","1"
"16","LP001032","Male","0","0","1","No",4950,0,125,"360","1","0","1"
"17","LP001034","Male","0","1","0","No",3596,0,100,"240",NA,"0","1"
"18","LP001036","Female","0","0","1","No",3510,0,76,"360","0","0","0"
"19","LP001038","Male","1","0","0","No",4887,0,133,"360","1","1","0"
"20","LP001041","Male","1","0","1","",2600,3500,115,NA,"1","0","1"
"21","LP001043","Male","1","0","0","No",7660,0,104,"360","0","0","0"
"22","LP001046","Male","1","1","1","No",5955,5625,315,"360","1","0","1"
"23","LP001047","Male","1","0","0","No",2600,1911,116,"360","0","2","0"
"24","LP001050","","1","2","0","No",3365,1917,112,"360","0","1","0"
"25","LP001052","Male","1","1","1","",3717,2925,151,"360",NA,"2","0"
"26","LP001066","Male","1","0","1","Yes",9560,0,191,"360","1","2","1"
"27","LP001068","Male","1","0","1","No",2799,2253,122,"360","1","2","1"
"28","LP001073","Male","1","2","0","No",4226,1040,110,"360","1","0","1"
"29","LP001086","Male","0","0","0","No",1442,0,35,"360","1","0","0"
"30","LP001087","Female","0","2","1","",3750,2083,120,"360","1","2","1"
"31","LP001091","Male","1","1","1","",4166,3369,201,"360",NA,"0","0"
"32","LP001095","Male","0","0","1","No",3167,0,74,"360","1","0","0"
"33","LP001097","Male","0","1","1","Yes",4692,0,106,"360","1","1","0"
"34","LP001098","Male","1","0","1","No",3500,1667,114,"360","1","2","1"
"35","LP001100","Male","0","3+","1","No",12500,3000,320,"360","1","1","0"
"36","LP001106","Male","1","0","1","No",2275,2067,NA,"360","1","0","1"
"37","LP001109","Male","1","0","1","No",1828,1330,100,NA,"0","0","0"
"38","LP001112","Female","1","0","1","No",3667,1459,144,"360","1","2","1"
"39","LP001114","Male","0","0","1","No",4166,7210,184,"360","1","0","1"
"40","LP001116","Male","0","0","0","No",3748,1668,110,"360","1","2","1"
"41","LP001119","Male","0","0","1","No",3600,0,80,"360","1","0","0"
"42","LP001120","Male","0","0","1","No",1800,1213,47,"360","1","0","1"
"43","LP001123","Male","1","0","1","No",2400,0,75,"360",NA,"0","1"
"44","LP001131","Male","1","0","1","No",3941,2336,134,"360","1","2","1"
"45","LP001136","Male","1","0","0","Yes",4695,0,96,NA,"1","0","1"
"46","LP001137","Female","0","0","1","No",3410,0,88,NA,"1","0","1"
"47","LP001138","Male","1","1","1","No",5649,0,44,"360","1","0","1"
"48","LP001144","Male","1","0","1","No",5821,0,144,"360","1","0","1"
"49","LP001146","Female","1","0","1","No",2645,3440,120,"360","0","0","0"
"50","LP001151","Female","0","0","1","No",4000,2275,144,"360","1","2","1"
"51","LP001155","Female","1","0","0","No",1928,1644,100,"360","1","2","1"
"52","LP001157","Female","0","0","1","No",3086,0,120,"360","1","2","1"
